word,count
lose,1
illustrate,1
finance,1
reproduce,1
country,1
tribe,1
wording,1
prevalence,1
instrument,1
dialect,1
disagreement,1
flow,1
matter,1
winter,1
quota,1
provide,1
grip,1
terminal,1
chemistry,1
peak,1
mobile,1
theft,1
poetry,1
exemption,1
consensus,1
allow,1
school,1
compose,1
year,1
era,1
possible,1
prediction,1
remind,1
game,1
lead,1
rich,1
means,1
disturbance,1
civilization,1
file,1
holiday,1
charter,1
guide,1
beach,1
extent,1
update,1
cemetery,1
investment,1
budget,1
dozen,1
clean,1
learn,1
crisis,1
pitch,1
theater,1
audience,1
research,1
load,1
format,1
reaction,1
twist,1
minister,1
joke,1
endorse,1
contradiction,2
cover,2
structure,2
X-ray,2
security,2
agency,2
conclusion,2
berate,2
dimension,2
intensify,2
relieve,3
observer,3
distance,3
trail,4
atmosphere,4
supply,5
intelligence,6
error,7
record,8
origin,9
data,10
