word,count
staff,7884
process,7841
position,7035
person,6882
hire,6777
employee,6101
job,5573
organization,5262
good,3891
opportunity,3084
experience,2999
manager,2930
pool,2893
candidate,2885
level,2819
knowledge,2720
assessment,2681
require,2645
base,2575
time,2546
fair,2374
interview,2361
year,2076
management,2047
public,1998
make,1993
train,1909
skill,1888
practice,1844
obtain,1835
allow,1825
applicant,1787
service,1746
program,1708
competition,1661
new,1634
act,1572
delay,1528
assist,1521
apply,1512
transparent,1488
government,1484
qualify,1454
performance,1445
test,1443
promote,1415
appointment,1384
question,1339
human_resource,1320
department,1290
need,1253
promotion,1225
work,1217
provide,1174
individual,1133
offer,1120
career,1109
give,1089
merit,1072
student,1057
selection,1054
correct,1045
term,1040
ability,1025
look,1015
open,1010
fit,1001
unfair,1000
language,999
assignment,975
have,958
development,909
current,904
group,891
create,887
instead,880
move,877
talent,876
assess,866
do,859
great,854
example,850
competency,841
try,827
internal,807
private,806
place,801
write,801
answer,796
select,793
nonadvertise,792
outside,785
different,783
system,781
available,778
month,774
requirement,774
reduce,770
sector,770
